sample_name,fastq_path,library
EwS_T112,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222660.fastq.gz,CALCULATE
EwS_T113,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222661.fastq.gz,CALCULATE
EwS_T114,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222662.fastq.gz,CALCULATE
EwS_T115,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222663.fastq.gz,CALCULATE
EwS_T116,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222664.fastq.gz,CALCULATE
EwS_T117,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222665.fastq.gz,CALCULATE
EwS_T118,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222666.fastq.gz,CALCULATE
EwS_T119,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222667.fastq.gz,CALCULATE
EwS_T120,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222668.fastq.gz,CALCULATE
EwS_T121,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222669.fastq.gz,CALCULATE
EwS_T122,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222670.fastq.gz,CALCULATE
EwS_T123,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222671.fastq.gz,CALCULATE
EwS_T124,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222672.fastq.gz,CALCULATE
EwS_T125,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222673.fastq.gz,CALCULATE
EwS_T126,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222674.fastq.gz,CALCULATE
EwS_T127,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222675.fastq.gz,CALCULATE
EwS_T129,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222676.fastq.gz,CALCULATE
EwS_T130,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222677.fastq.gz,CALCULATE
EwS_T131,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222678.fastq.gz,CALCULATE
EwS_T132,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222679.fastq.gz,CALCULATE
EwS_T133,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222680.fastq.gz,CALCULATE
EwS_T134,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222681.fastq.gz,CALCULATE
EwS_T135,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222682.fastq.gz,CALCULATE
EwS_T136,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222683.fastq.gz,CALCULATE
EwS_T137,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222684.fastq.gz,CALCULATE
EwS_T138,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222685.fastq.gz,CALCULATE
EwS_T139,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222686.fastq.gz,CALCULATE
EwS_T140,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222687.fastq.gz,CALCULATE
EwS_T141,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222688.fastq.gz,CALCULATE
EwS_L2,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222689.fastq.gz,CALCULATE
EwS_L3,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222690.fastq.gz,CALCULATE
EwS_L4,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222691.fastq.gz,CALCULATE
EwS_L5,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222692.fastq.gz,CALCULATE
EwS_L6,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222693.fastq.gz,CALCULATE
EwS_L7,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222694.fastq.gz,CALCULATE
EwS_L8,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222695.fastq.gz,CALCULATE
EwS_L9,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222696.fastq.gz,CALCULATE
EwS_L10,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222697.fastq.gz,CALCULATE
EwS_L11,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222698.fastq.gz,CALCULATE
EwS_L12,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222699.fastq.gz,CALCULATE
EwS_L13,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222700.fastq.gz,CALCULATE
